model,fractioner,hint_fraction,accuracy,ci_low,ci_high,n_samples,n_rollouts,rows_total,rows_with_known_label,rows_without_known_label,path
Qwen3-4B,mask_word,0.0,0.6233333333333333,0.55,0.6833333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.jsonl
Qwen3-4B,mask_word,0.1,0.6449999999999999,0.5833333333333334,0.7166666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.1.jsonl
Qwen3-4B,mask_word,0.2,0.6099999999999999,0.5333333333333333,0.6833333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.2.jsonl
Qwen3-4B,mask_word,0.3,0.6549999999999999,0.5666666666666667,0.7333333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.3.jsonl
Qwen3-4B,mask_word,0.4,0.6766666666666666,0.5833333333333334,0.7666666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.4.jsonl
Qwen3-4B,mask_word,0.5,0.7316666666666668,0.6333333333333333,0.8166666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.5.jsonl
Qwen3-4B,mask_word,0.6,0.8233333333333334,0.75,0.9,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.6.jsonl
Qwen3-4B,mask_word,0.7,0.8916666666666667,0.8333333333333334,0.95,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.7.jsonl
Qwen3-4B,mask_word,0.8,0.9533333333333334,0.9,1.0,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.8.jsonl
Qwen3-4B,mask_word,0.9,0.9633333333333334,0.9166666666666666,1.0,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_0.9.jsonl
Qwen3-4B,mask_word,1.0,0.97,0.9333333333333333,1.0,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__mask_word/fraction_1.jsonl
Qwen3-4B,truncate_sentence,0.0,0.6366666666666667,0.5666666666666667,0.7,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.jsonl
Qwen3-4B,truncate_sentence,0.1,0.6633333333333333,0.6,0.7333333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.1.jsonl
Qwen3-4B,truncate_sentence,0.2,0.6316666666666667,0.5666666666666667,0.7,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.2.jsonl
Qwen3-4B,truncate_sentence,0.3,0.7016666666666668,0.6333333333333333,0.7666666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.3.jsonl
Qwen3-4B,truncate_sentence,0.4,0.7416666666666667,0.6666666666666666,0.8,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.4.jsonl
Qwen3-4B,truncate_sentence,0.5,0.7766666666666666,0.7166666666666667,0.8333333333333334,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.5.jsonl
Qwen3-4B,truncate_sentence,0.6,0.8300000000000001,0.7666666666666667,0.9,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.6.jsonl
Qwen3-4B,truncate_sentence,0.7,0.8699999999999999,0.8166666666666667,0.9333333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.7.jsonl
Qwen3-4B,truncate_sentence,0.8,0.9183333333333333,0.8666666666666667,0.9666666666666667,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.8.jsonl
Qwen3-4B,truncate_sentence,0.9,0.9533333333333333,0.9166666666666666,0.9833333333333333,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_0.9.jsonl
Qwen3-4B,truncate_sentence,1.0,0.9716666666666666,0.9333333333333333,1.0,60,600,600,600,0,data/hinted_inference/aime2025_2026/Qwen3-4B/answer_not_revealed__truncate_sentence/fraction_1.jsonl
